global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.1088495,0.41638312,,,,,,,,,,,
1,,,0.4181562261011615,0.4188120656037804,83274637.0,0.4188618532072368,95000000.0,6.709789276123047,30.446840286254883,6.709789276123047,23.736982822418213,0.0,0.0
100,0.04437572,0.14898217,,,,,,,,,,,
200,0.010766367,0.13230987,,,,,,,,,,,
300,0.0074101556,0.12187229,,,,,,,,,,,
400,0.01163024,0.12169005,,,,,,,,,,,
500,0.007714396,0.11940138,,,,,,,,,,,
600,0.028407658,0.12162355,,,,,,,,,,,
700,0.039921127,0.13252282,,,,,,,,,,,
800,0.0238902,0.1285742,,,,,,,,,,,
900,0.020065175,0.12500061,,,,,,,,,,,
1000,0.007308983,0.115374364,,,,,,,,,,,
1100,0.006967698,0.124523595,,,,,,,,,,,
1200,0.03132821,0.12436326,,,,,,,,,,,
1300,0.009244671,0.13013275,,,,,,,,,,,
1400,0.017732562,0.12076672,,,,,,,,,,,
1500,0.0075502754,0.11527002,,,,,,,,,,,
1524,,,0.1257212884114973,0.1256773305193152,83274637.0,0.1283900325041118,95000000.0,1207.0080687999723,1257.2221710681915,1207.0080687999723,50.14362454414368,0.0191893577575683,0.0
1600,0.02563187,0.12059872,,,,,,,,,,,
1700,0.007234006,0.13061339,,,,,,,,,,,
1800,0.008587296,0.11967661,,,,,,,,,,,
1900,0.021932222,0.13167377,,,,,,,,,,,
2000,0.009018105,0.12224355,,,,,,,,,,,
2100,0.017180055,0.1305574,,,,,,,,,,,
2200,0.03685636,0.13600618,,,,,,,,,,,
2300,0.013954563,0.13044247,,,,,,,,,,,
2400,0.011245997,0.1280711,,,,,,,,,,,
2500,0.0065778242,0.12415639,,,,,,,,,,,
2600,0.013592801,0.11403544,,,,,,,,,,,
2700,0.0065790243,0.12693904,,,,,,,,,,,
2800,0.01598632,0.12933509,,,,,,,,,,,
2900,0.020649645,0.12851684,,,,,,,,,,,
3000,0.018532228,0.12171498,,,,,,,,,,,
3026,,,0.1224746711599002,0.1250115902730533,83274637.0,0.127627279399671,95000000.0,2407.0765080451965,2481.554374933243,2407.0765080451965,74.33149528503418,0.0458357334136962,0.0
3100,0.009929377,0.11794225,,,,,,,,,,,
3200,0.0110088205,0.11684926,,,,,,,,,,,
3300,0.020279113,0.1256082,,,,,,,,,,,
3400,0.013682723,0.12540686,,,,,,,,,,,
3500,0.01912126,0.12730525,,,,,,,,,,,
3600,0.006400622,0.12706594,,,,,,,,,,,
3700,0.011024957,0.120550476,,,,,,,,,,,
3800,0.009521538,0.12396223,,,,,,,,,,,
3900,0.022643222,0.118114956,,,,,,,,,,,
4000,0.015224331,0.1190912,,,,,,,,,,,
4100,0.0052726255,0.12806728,,,,,,,,,,,
4200,0.0070098303,0.122205205,,,,,,,,,,,
4300,0.019361312,0.12202984,,,,,,,,,,,
4400,0.0064342064,0.12464918,,,,,,,,,,,
4500,0.010819853,0.112823576,,,,,,,,,,,
4533,,,0.1217223097037219,0.1245626172862362,83274637.0,0.1269304060855263,95000000.0,3607.626647233963,3706.6648955345154,3607.626647233963,98.81931662559508,0.0688531398773193,0.0
4600,0.008554922,0.11856547,,,,,,,,,,,
4700,0.01392386,0.117156714,,,,,,,,,,,
4800,0.01153347,0.12765652,,,,,,,,,,,
4900,0.01637117,0.1262282,,,,,,,,,,,
5000,0.012333384,0.1221838,,,,,,,,,,,
5100,0.014878256,0.12702799,,,,,,,,,,,
5200,0.005794587,0.12384351,,,,,,,,,,,
5300,0.0065942802,0.11765575,,,,,,,,,,,
5400,0.022818055,0.12674996,,,,,,,,,,,
5500,0.018939368,0.12301654,,,,,,,,,,,
5600,0.006329,0.12629321,,,,,,,,,,,
5700,0.014856412,0.12376113,,,,,,,,,,,
5800,0.00820919,0.12829936,,,,,,,,,,,
5900,0.0069807316,0.12045059,,,,,,,,,,,
6000,0.016810095,0.1271125,,,,,,,,,,,
6050,,,0.1214077326486695,0.1243880322693571,83274637.0,0.1267423980263158,95000000.0,4807.566356658936,4930.737677097321,4807.566356658936,122.87645244598389,0.0949859619140625,0.0
6100,0.009055465,0.11826011,,,,,,,,,,,
6200,0.011048434,0.11810014,,,,,,,,,,,
6300,0.008532663,0.123198114,,,,,,,,,,,
6400,0.0074778185,0.11825468,,,,,,,,,,,
6500,0.005586061,0.12837552,,,,,,,,,,,
6600,0.007269635,0.113859355,,,,,,,,,,,
6700,0.009587508,0.1209035,,,,,,,,,,,
6800,0.0061477832,0.11963532,,,,,,,,,,,
6900,0.0068080286,0.12983881,,,,,,,,,,,
7000,0.025004266,0.12462178,,,,,,,,,,,
7100,0.007230068,0.12260697,,,,,,,,,,,
7200,0.013574017,0.1225424,,,,,,,,,,,
7300,0.005745982,0.12769917,,,,,,,,,,,
7400,0.010676174,0.122537576,,,,,,,,,,,
7500,0.007895908,0.116997145,,,,,,,,,,,
7549,,,0.1233120016613096,0.1240022305744935,83274637.0,0.1263650322985197,95000000.0,6007.942964553833,6158.37321305275,6007.942964553833,150.06325364112854,0.1183829307556152,0.0
7600,0.0071503483,0.11407839,,,,,,,,,,,
7700,0.0077345087,0.12220016,,,,,,,,,,,
7800,0.008336514,0.12894331,,,,,,,,,,,
7900,0.010515497,0.118974335,,,,,,,,,,,
8000,0.010740182,0.12904966,,,,,,,,,,,
8100,0.008736752,0.11478947,,,,,,,,,,,
8200,0.007969342,0.12291095,,,,,,,,,,,
8300,0.011715288,0.13405538,,,,,,,,,,,
8400,0.009298875,0.120420605,,,,,,,,,,,
8500,0.011781535,0.12795568,,,,,,,,,,,
8600,0.008417941,0.120130636,,,,,,,,,,,
8700,0.012148678,0.12667337,,,,,,,,,,,
8800,0.0068928828,0.121463686,,,,,,,,,,,
8900,0.012119613,0.113768056,,,,,,,,,,,
9000,0.010007698,0.118103005,,,,,,,,,,,
9067,,,0.1243514255064088,0.1236917545607253,83274637.0,0.1259396311266447,95000000.0,7208.53520655632,7383.154753684998,7208.53520655632,174.17526245117188,0.145538330078125,0.0
9100,0.006609633,0.12079452,,,,,,,,,,,
9200,0.0070929644,0.116610795,,,,,,,,,,,
9300,0.0071244286,0.124309696,,,,,,,,,,,
9400,0.007886714,0.12233779,,,,,,,,,,,
9500,0.009798959,0.12797444,,,,,,,,,,,
9600,0.010554994,0.11936444,,,,,,,,,,,
9698,,,,,,,,7703.667432069778,,,,,0.0
