global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,9.0239935,1.5136962,,,,,,,,,,,
1,,,1.519693479597943,1.5212185261462023,83274637.0,1.5194805184210527,95000000.0,20.892271518707275,791.5020091533661,20.892271518707275,770.6096827983856,0.0,0.0
100,0.59149855,0.1703465,,,,,,,,,,,
200,0.04087948,0.13404705,,,,,,,,,,,
300,0.021523552,0.14619005,,,,,,,,,,,
400,0.03592085,0.12268497,,,,,,,,,,,
500,0.009572293,0.11867895,,,,,,,,,,,
600,0.05511384,0.1342735,,,,,,,,,,,
700,0.03770047,0.13297136,,,,,,,,,,,
800,0.013373003,0.12577246,,,,,,,,,,,
900,0.009553156,0.12183991,,,,,,,,,,,
1000,0.02430809,0.11983143,,,,,,,,,,,
1100,0.011022753,0.13396275,,,,,,,,,,,
1200,0.03245219,0.122072935,,,,,,,,,,,
1300,0.017761579,0.12638302,,,,,,,,,,,
1400,0.012035799,0.127795,,,,,,,,,,,
1500,0.015720312,0.12385158,,,,,,,,,,,
1600,0.03990823,0.12158015,,,,,,,,,,,
1623,,,0.1242260946042882,0.126126404030062,83274637.0,0.1287275309518914,95000000.0,1221.243737697601,2624.271951198578,1221.243737697601,1402.949651002884,0.0265877246856689,0.0
1700,0.03195682,0.13137847,,,,,,,,,,,
1800,0.025007427,0.13372931,,,,,,,,,,,
1900,0.02280598,0.12515974,,,,,,,,,,,
2000,0.026964666,0.12542129,,,,,,,,,,,
2100,0.026957298,0.13155656,,,,,,,,,,,
2200,0.018338647,0.13025206,,,,,,,,,,,
2300,0.031066718,0.121651344,,,,,,,,,,,
2400,0.00938783,0.121805,,,,,,,,,,,
2500,0.010528534,0.12850595,,,,,,,,,,,
2600,0.0068483697,0.1222548,,,,,,,,,,,
2700,0.0065244962,0.13450946,,,,,,,,,,,
2800,0.016117522,0.12625737,,,,,,,,,,,
2900,0.0334901,0.13021202,,,,,,,,,,,
3000,0.013702958,0.12835746,,,,,,,,,,,
3100,0.03856695,0.13027631,,,,,,,,,,,
3200,0.006470311,0.12004549,,,,,,,,,,,
3236,,,0.1254858712917604,0.1251327878424135,83274637.0,0.1276052690583881,95000000.0,2421.242283344269,4369.06401515007,2421.242283344269,1947.666404247284,0.0520765781402587,0.0
3300,0.020194132,0.119127356,,,,,,,,,,,
3400,0.008855129,0.11943017,,,,,,,,,,,
3500,0.009954478,0.119130105,,,,,,,,,,,
3600,0.012218357,0.12673001,,,,,,,,,,,
3700,0.032219823,0.12077761,,,,,,,,,,,
3800,0.010829806,0.11760385,,,,,,,,,,,
3900,0.024559315,0.12997384,,,,,,,,,,,
4000,0.014479304,0.12122216,,,,,,,,,,,
4100,0.01986222,0.13290569,,,,,,,,,,,
4200,0.006717561,0.11834721,,,,,,,,,,,
4300,0.009315124,0.1294225,,,,,,,,,,,
4400,0.0068176277,0.12510152,,,,,,,,,,,
4500,0.02488536,0.12558384,,,,,,,,,,,
4600,0.013478547,0.11703863,,,,,,,,,,,
4700,0.010237155,0.12187064,,,,,,,,,,,
4800,0.0095921485,0.11672053,,,,,,,,,,,
4855,,,0.1232307549074011,0.1247294805830255,83274637.0,0.1270578274876644,95000000.0,3621.582787752152,6101.583913326263,3621.582787752152,2479.767473459244,0.0789272785186767,0.0
4900,0.026922015,0.1269814,,,,,,,,,,,
5000,0.00815737,0.114370674,,,,,,,,,,,
5100,0.008869592,0.122818425,,,,,,,,,,,
5200,0.008722714,0.12702192,,,,,,,,,,,
5300,0.03836268,0.12062959,,,,,,,,,,,
5400,0.014714242,0.124275826,,,,,,,,,,,
5500,0.0069729434,0.11983302,,,,,,,,,,,
5600,0.013342663,0.12564726,,,,,,,,,,,
5700,0.008813415,0.12105765,,,,,,,,,,,
5800,0.008987973,0.12224325,,,,,,,,,,,
5900,0.008721336,0.12186219,,,,,,,,,,,
6000,0.008517333,0.1277755,,,,,,,,,,,
6100,0.012254136,0.12728721,,,,,,,,,,,
6200,0.007195817,0.116240196,,,,,,,,,,,
6300,0.008680577,0.127293,,,,,,,,,,,
6400,0.008285586,0.118738115,,,,,,,,,,,
6483,,,0.1239696584126484,0.1241865348903442,83274637.0,0.1265536055407072,95000000.0,4821.726407766342,7798.784013032913,4821.726407766342,2976.7446382045746,0.1071887016296386,0.0
6500,0.011000238,0.116373375,,,,,,,,,,,
6600,0.012804175,0.1211956,,,,,,,,,,,
6700,0.009167755,0.122268915,,,,,,,,,,,
6800,0.020086858,0.12017112,,,,,,,,,,,
