global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.7888966,11.135162,,,,,,,,,,,,,,,,,
1,,,0.0005809449939988,11.19240951538086,0.0,0.0004835649742744,11.190281867980955,0.0,3000.0,0.0007088489946909,11.191027641296388,0.0,3003.0,31.995970487594604,873.7377886772156,31.995970487594604,841.7417721748352,0.0,0.0
100,0.18685812,8.258305,,,,,,,,,,,,,,,,,
200,0.96242,7.5216694,,,,,,,,,,,,,,,,,
300,0.37346396,6.8933144,,,,,,,,,,,,,,,,,
400,0.5321248,6.3386793,,,,,,,,,,,,,,,,,
500,0.38655487,5.9003644,,,,,,,,,,,,,,,,,
600,0.5496124,5.615564,,,,,,,,,,,,,,,,,
700,0.62727594,5.336079,,,,,,,,,,,,,,,,,
800,0.52702785,5.06124,,,,,,,,,,,,,,,,,
900,0.4881948,4.889184,,,,,,,,,,,,,,,,,
1000,0.74749297,4.609756,,,,,,,,,,,,,,,,,
1100,0.68140274,4.337661,,,,,,,,,,,,,,,,,
1200,0.6069384,4.1046906,,,,,,,,,,,,,,,,,
1300,0.52492005,3.9454908,,,,,,,,,,,,,,,,,
1400,0.46002233,3.7745183,,,,,,,,,,,,,,,,,
1500,0.52612484,3.6036823,,,,,,,,,,,,,,,,,
1600,0.51676446,3.5289445,,,,,,,,,,,,,,,,,
1700,0.52693444,3.4295611,,,,,,,,,,,,,,,,,
1800,0.5184435,3.2781405,,,,,,,,,,,,,,,,,
1900,0.5212904,3.2703674,,,,,,,,,,,,,,,,,
2000,0.44549286,3.2209134,,,,,,,,,,,,,,,,,
2100,0.45205802,3.0577016,,,,,,,,,,,,,,,,,
2200,0.38764402,3.0401943,,,,,,,,,,,,,,,,,
2300,0.42471823,3.014045,,,,,,,,,,,,,,,,,
2343,,,0.5090352892875671,2.874778985977173,22.760860535397587,0.509181559085846,2.877437829971313,18.645719298845435,3000.0,0.5100807547569275,2.911456823348999,17.119625855590364,3003.0,872.1930792331696,2251.830168247223,872.1930792331696,1379.5385262966156,0.0206320285797119,0.0
2400,0.38534495,2.9670136,,,,,,,,,,,,,,,,,
2500,0.30748245,2.955076,,,,,,,,,,,,,,,,,
2600,0.3189297,2.8719404,,,,,,,,,,,,,,,,,
2700,0.29831645,2.8704045,,,,,,,,,,,,,,,,,
2800,0.2687663,2.6922119,,,,,,,,,,,,,,,,,
2900,0.2936276,2.8190198,,,,,,,,,,,,,,,,,
3000,0.27218738,2.7449796,,,,,,,,,,,,,,,,,
3100,0.24613503,2.6449745,,,,,,,,,,,,,,,,,
