global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.0929966,0.41928858,,,,,,,,,,,
1,,,0.4176470236208454,0.4188120656037804,83274637.0,0.4188618532072368,95000000.0,10.69684362411499,34.23276495933533,10.69684362411499,23.535862922668457,0.0,0.0
100,0.0807778,0.13230287,,,,,,,,,,,
200,0.07150222,0.13679527,,,,,,,,,,,
300,0.009048812,0.13359185,,,,,,,,,,,
400,0.0076093897,0.1305742,,,,,,,,,,,
500,0.046218306,0.1273943,,,,,,,,,,,
600,0.028172657,0.12524833,,,,,,,,,,,
700,0.008790972,0.12942088,,,,,,,,,,,
800,0.030185018,0.13116977,,,,,,,,,,,
900,0.0095966505,0.119867384,,,,,,,,,,,
1000,0.022729877,0.12304518,,,,,,,,,,,
1100,0.047835294,0.119999014,,,,,,,,,,,
1200,0.025185551,0.120653644,,,,,,,,,,,
1300,0.009370137,0.12690547,,,,,,,,,,,
1385,,,0.1257467939043944,0.1262581310471518,83274637.0,0.1286561589432565,95000000.0,1210.9046003818512,1257.0154948234558,1210.9046003818512,46.04471206665039,0.0211014747619628,0.0
1400,0.013787351,0.12520333,,,,,,,,,,,
1500,0.027656363,0.12876114,,,,,,,,,,,
1600,0.0247154,0.12528421,,,,,,,,,,,
1700,0.02508968,0.11813856,,,,,,,,,,,
1800,0.01758578,0.1315279,,,,,,,,,,,
1900,0.004244441,0.12233712,,,,,,,,,,,
2000,0.010228067,0.12056616,,,,,,,,,,,
2100,0.019845061,0.12410459,,,,,,,,,,,
2200,0.0072398805,0.12284984,,,,,,,,,,,
2300,0.053669192,0.1258275,,,,,,,,,,,
2400,0.0051607867,0.12627646,,,,,,,,,,,
2500,0.023172457,0.1181493,,,,,,,,,,,
2600,0.034353115,0.12920511,,,,,,,,,,,
2700,0.014268195,0.13764735,,,,,,,,,,,
2767,,,0.1240582037834251,0.126174739059505,83274637.0,0.1284978528166118,95000000.0,2411.299080133438,2479.7721927165985,2411.299080133438,68.33290123939514,0.0490431785583496,0.0
2800,0.00828969,0.11671193,,,,,,,,,,,
2900,0.03197531,0.12502185,,,,,,,,,,,
3000,0.053116534,0.122031495,,,,,,,,,,,
3100,0.016484238,0.121777356,,,,,,,,,,,
3200,0.040841583,0.13707566,,,,,,,,,,,
3300,0.02515905,0.120638445,,,,,,,,,,,
3400,0.03506166,0.12952495,,,,,,,,,,,
3500,0.03742706,0.12559336,,,,,,,,,,,
3600,0.036931526,0.121770315,,,,,,,,,,,
3700,0.032821618,0.1310759,,,,,,,,,,,
3800,0.03386659,0.13132471,,,,,,,,,,,
3900,0.004557242,0.123039216,,,,,,,,,,,
4000,0.0040009664,0.120571196,,,,,,,,,,,
4100,0.0149166165,0.12779929,,,,,,,,,,,
4148,,,0.1246463721090892,0.1263915748046881,83274637.0,0.1287472412006579,95000000.0,3611.7111065387726,3702.8027780056,3611.7111065387726,90.88132357597352,0.0729458332061767,0.0
4200,0.05197221,0.1263977,,,,,,,,,,,
4300,0.042917445,0.121288165,,,,,,,,,,,
4400,0.049677473,0.119286284,,,,,,,,,,,
4500,0.010803903,0.132038,,,,,,,,,,,
4600,0.014010695,0.12271087,,,,,,,,,,,
4700,0.0046882667,0.13150755,,,,,,,,,,,
4800,0.028115366,0.124584384,,,,,,,,,,,
4900,0.00983935,0.12296531,,,,,,,,,,,
5000,0.014730053,0.13183834,,,,,,,,,,,
5100,0.042346906,0.12668377,,,,,,,,,,,
5200,0.026349023,0.12831886,,,,,,,,,,,
5300,0.041305088,0.1322378,,,,,,,,,,,
5400,0.007893044,0.1266757,,,,,,,,,,,
5500,0.046122573,0.11977975,,,,,,,,,,,
5532,,,0.1261061483865264,0.1257231651156882,83274637.0,0.1281059535773026,95000000.0,4812.121766090393,4925.977107524872,4812.121766090393,113.57464456558228,0.0985362529754638,0.0
5600,0.046406493,0.12362985,,,,,,,,,,,
5700,0.022495668,0.120445594,,,,,,,,,,,
5800,0.027208257,0.12976614,,,,,,,,,,,
5900,0.023332918,0.13907541,,,,,,,,,,,
6000,0.016934982,0.121976815,,,,,,,,,,,
6100,0.012603023,0.12777913,,,,,,,,,,,
6200,0.0081364205,0.13310869,,,,,,,,,,,
6300,0.006364949,0.12317997,,,,,,,,,,,
6400,0.011180502,0.12529789,,,,,,,,,,,
6500,0.0050768643,0.117635064,,,,,,,,,,,
6600,0.014012624,0.11976478,,,,,,,,,,,
6700,0.019544637,0.12646894,,,,,,,,,,,
6800,0.020542895,0.13083816,,,,,,,,,,,
6894,,,0.1229537926942297,0.1254273176556296,83274637.0,0.1278534981599506,95000000.0,6012.393161773682,6149.090483188629,6012.393161773682,136.3490800857544,0.1220607757568359,0.0
6900,0.0129055055,0.1171488,,,,,,,,,,,
7000,0.006543059,0.125728,,,,,,,,,,,
7100,0.011063947,0.120712966,,,,,,,,,,,
7200,0.017471874,0.13324034,,,,,,,,,,,
7300,0.012629436,0.13364968,,,,,,,,,,,
7400,0.012036447,0.12341838,,,,,,,,,,,
7500,0.021022327,0.12151978,,,,,,,,,,,
7600,0.00696875,0.11521623,,,,,,,,,,,
7700,0.012665197,0.124069735,,,,,,,,,,,
7800,0.008804278,0.12816274,,,,,,,,,,,
7900,0.015571233,0.120649695,,,,,,,,,,,
8000,0.009424241,0.12470996,,,,,,,,,,,
8100,0.007274986,0.12190605,,,,,,,,,,,
8200,0.006868649,0.12314265,,,,,,,,,,,
8258,,,0.1231795465515094,0.1254108300893884,83274637.0,0.1277474768708881,95000000.0,7213.036543607712,7372.547692298889,7213.036543607712,159.09422087669373,0.1467015743255615,0.0
8300,0.01837232,0.12830779,,,,,,,,,,,
8400,0.0067478404,0.117859244,,,,,,,,,,,
8500,0.0063683,0.118687406,,,,,,,,,,,
8600,0.013484476,0.12236837,,,,,,,,,,,
8700,0.006113844,0.13219272,,,,,,,,,,,
8746,,,,,,,,7703.177574872971,,,,,0.0
