global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.7371044,0.71459216,,,,,,,,,,,,,,,,,
1,,,0.5250149965286255,0.7151498794555664,0.0224614420980837,0.5213832855224609,0.7166012525558472,0.0261677396182137,43793.0,0.5224818587303162,0.7161954641342163,0.0278240410838958,43793.0,18.22455358505249,330.3200616836548,18.22455358505249,312.095463514328,0.0,0.0
100,0.60223687,0.42012855,,,,,,,,,,,,,,,,,
200,0.35242286,0.31525835,,,,,,,,,,,,,,,,,
300,0.2569092,0.22896984,,,,,,,,,,,,,,,,,
400,0.1691178,0.1599384,,,,,,,,,,,,,,,,,
500,0.10653999,0.109940656,,,,,,,,,,,,,,,,,
600,0.065417066,0.08791898,,,,,,,,,,,,,,,,,
700,0.046901397,0.066946425,,,,,,,,,,,,,,,,,
749,,,0.9867318868637084,0.0685997605323791,0.034143125103973,0.9841179251670836,0.0774130299687385,0.0363251293632594,43793.0,0.983142077922821,0.0803441479802131,0.0379646768887439,43793.0,258.50570034980774,688.2471423149109,258.50570034980774,429.68863344192505,0.0337791442871093,0.0
800,0.032160554,0.06665626,,,,,,,,,,,,,,,,,
900,0.15983059,0.061792757,,,,,,,,,,,,,,,,,
1000,0.05475169,0.059090167,,,,,,,,,,,,,,,,,
1100,0.11100432,0.056161534,,,,,,,,,,,,,,,,,
1200,0.26966006,0.053658847,,,,,,,,,,,,,,,,,
1300,0.33447692,0.05209105,,,,,,,,,,,,,,,,,
1400,0.11226441,0.04776481,,,,,,,,,,,,,,,,,
1498,,,0.987120807170868,0.0488369651138782,0.0850988099663653,0.9844743609428406,0.0578992888331413,0.0861650117542072,43793.0,0.983509361743927,0.0611369796097278,0.0874589221408354,43793.0,498.6134088039398,1051.6457195281982,498.6134088039398,552.933183670044,0.0614261627197265,0.0
1500,0.32168272,0.045913726,,,,,,,,,,,,,,,,,
1600,0.42647645,0.049845982,,,,,,,,,,,,,,,,,
1700,0.22718193,0.05190289,,,,,,,,,,,,,,,,,
1800,0.17423648,0.050273526,,,,,,,,,,,,,,,,,
1900,0.07139972,0.049996622,,,,,,,,,,,,,,,,,
2000,0.17172761,0.045269463,,,,,,,,,,,,,,,,,
2100,0.19899097,0.042673852,,,,,,,,,,,,,,,,,
2200,0.18663466,0.04551201,,,,,,,,,,,,,,,,,
2246,,,0.9877936840057372,0.04438441619277,0.1354723842981192,0.9850642085075378,0.0536051467061042,0.1311888501001946,43793.0,0.984077513217926,0.0567509531974792,0.1285198326876661,43793.0,738.7220523357391,1413.3673105239868,738.7220523357391,674.4949362277985,0.0938889980316162,0.0
2300,0.10463924,0.04280965,,,,,,,,,,,,,,,,,
2400,0.089078054,0.045085166,,,,,,,,,,,,,,,,,
2500,0.06857383,0.04023597,,,,,,,,,,,,,,,,,
2600,0.14510436,0.047692537,,,,,,,,,,,,,,,,,
2700,0.13045396,0.04117077,,,,,,,,,,,,,,,,,
2800,0.10649617,0.040586114,,,,,,,,,,,,,,,,,
2900,0.11231413,0.040797237,,,,,,,,,,,,,,,,,
2973,,,0.9880256056785583,0.0422192029654979,0.165306800246985,0.9852164387702942,0.0518075451254844,0.1575073027716013,43793.0,0.9842742681503296,0.0546730384230613,0.1505660785614086,43793.0,978.9202573299408,1778.4332921504974,978.9202573299408,799.3096804618835,0.1233859062194824,0.0
3000,0.122324176,0.046032075,,,,,,,,,,,,,,,,,
3100,0.0803333,0.045717105,,,,,,,,,,,,,,,,,
3200,0.10522786,0.040946092,,,,,,,,,,,,,,,,,
