global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.5562551,6.9256654,,,,,,,,,,,,,,
1,,,0.0011957908282056,6.911755561828613,0.0011199999134987,6.912059783935547,50000.0,0.0009000000427477,6.912177562713623,10000.0,31.10077476501465,48.6652979850769,31.10077476501465,17.564436674118042,0.0,0.0
100,0.52879894,6.9011106,,,,,,,,,,,,,,
200,0.5411919,6.8568015,,,,,,,,,,,,,,
300,0.58589166,6.7643685,,,,,,,,,,,,,,
400,0.6113756,6.6849775,,,,,,,,,,,,,,
500,0.66772735,6.6414332,,,,,,,,,,,,,,
600,0.6808602,6.5412765,,,,,,,,,,,,,,
700,0.77916497,6.44799,,,,,,,,,,,,,,
800,1.4667825,6.3698874,,,,,,,,,,,,,,
900,1.503084,6.304823,,,,,,,,,,,,,,
1000,1.8208605,6.282628,,,,,,,,,,,,,,
1100,2.348894,6.126011,,,,,,,,,,,,,,
1200,1.8363744,6.0963187,,,,,,,,,,,,,,
1300,1.5095797,6.052471,,,,,,,,,,,,,,
1400,1.7882402,5.983612,,,,,,,,,,,,,,
1500,2.798366,5.9372087,,,,,,,,,,,,,,
1508,,,0.0834064111113548,5.276715278625488,0.0773599967360496,5.338540077209473,50000.0,0.0577000044286251,5.554655075073242,10000.0,541.0707614421844,576.4564385414124,541.0707614421844,35.312798261642456,0.018644094467163,0.0
1600,1.769571,5.8558216,,,,,,,,,,,,,,
1700,2.1807952,5.8484764,,,,,,,,,,,,,,
1800,2.3275948,5.779243,,,,,,,,,,,,,,
1900,3.4302497,5.7116385,,,,,,,,,,,,,,
2000,2.58228,5.694634,,,,,,,,,,,,,,
2100,2.923163,5.624066,,,,,,,,,,,,,,
2200,2.5319939,5.5905027,,,,,,,,,,,,,,
2300,5.1756544,5.563944,,,,,,,,,,,,,,
2400,4.269682,5.5070477,,,,,,,,,,,,,,
