global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.2275486,10.960339,,,,,,,,,,,,,,,,,
1,,,0.0006382566643878,10.960665702819824,0.0,0.0004835649742744,10.980294227600098,0.0,3000.0,0.0007088489946909,10.966498374938965,0.0,3003.0,37.38932204246521,919.9261367321014,37.38932204246521,882.5367727279663,0.0,0.0
100,0.39252505,8.968057,,,,,,,,,,,,,,,,,
200,0.16082531,8.581539,,,,,,,,,,,,,,,,,
300,0.17985734,8.335307,,,,,,,,,,,,,,,,,
400,0.25205564,8.013865,,,,,,,,,,,,,,,,,
500,0.35767213,7.663035,,,,,,,,,,,,,,,,,
600,0.5109454,7.411954,,,,,,,,,,,,,,,,,
700,0.61367494,7.247362,,,,,,,,,,,,,,,,,
800,0.5663554,6.976062,,,,,,,,,,,,,,,,,
900,0.57988864,6.7435584,,,,,,,,,,,,,,,,,
1000,0.563016,6.590374,,,,,,,,,,,,,,,,,
1100,0.69635063,6.3629355,,,,,,,,,,,,,,,,,
1200,0.81312186,6.2095537,,,,,,,,,,,,,,,,,
1300,0.506547,6.1209908,,,,,,,,,,,,,,,,,
1400,0.77841777,5.9826207,,,,,,,,,,,,,,,,,
1500,0.6148735,5.8296156,,,,,,,,,,,,,,,,,
1600,0.6450021,5.666721,,,,,,,,,,,,,,,,,
1700,0.54518723,5.5673146,,,,,,,,,,,,,,,,,
1800,1.5623139,5.4891357,,,,,,,,,,,,,,,,,
1900,1.0547086,5.3503547,,,,,,,,,,,,,,,,,
2000,0.6484911,5.307024,,,,,,,,,,,,,,,,,
2100,1.1187018,5.1577477,,,,,,,,,,,,,,,,,
2200,0.64605397,5.094729,,,,,,,,,,,,,,,,,
2300,0.74373925,4.989433,,,,,,,,,,,,,,,,,
2400,1.206457,4.847176,,,,,,,,,,,,,,,,,
2411,,,0.4126627445220947,4.002304553985596,14.245377447202788,0.3975647985935211,4.118062496185303,9.613389479466637,3000.0,0.3811051249504089,4.32146692276001,8.015197424590168,3003.0,877.514372587204,2355.1783118247986,877.514372587204,1477.5438141822815,0.0384318828582763,0.0
2500,0.80570596,4.8671355,,,,,,,,,,,,,,,,,
2600,1.0746293,4.644018,,,,,,,,,,,,,,,,,
2700,1.3878789,4.660332,,,,,,,,,,,,,,,,,
2800,1.3421057,4.6049747,,,,,,,,,,,,,,,,,
2900,0.66344064,4.4743853,,,,,,,,,,,,,,,,,
3000,0.6725298,4.434315,,,,,,,,,,,,,,,,,
3100,0.8506165,4.383146,,,,,,,,,,,,,,,,,
3200,0.7431074,4.345572,,,,,,,,,,,,,,,,,
3300,0.9651064,4.210878,,,,,,,,,,,,,,,,,
3400,0.76616174,4.2104177,,,,,,,,,,,,,,,,,
3500,0.72440964,4.1439686,,,,,,,,,,,,,,,,,
3600,0.66361034,4.1694517,,,,,,,,,,,,,,,,,
3700,0.6447309,4.0986547,,,,,,,,,,,,,,,,,
3800,0.6762318,4.060281,,,,,,,,,,,,,,,,,
3900,0.6723311,4.0118537,,,,,,,,,,,,,,,,,
4000,0.72291213,4.0280747,,,,,,,,,,,,,,,,,
4100,0.63329357,3.9788342,,,,,,,,,,,,,,,,,
4200,0.6585279,3.9316688,,,,,,,,,,,,,,,,,
4300,0.70780534,3.8942819,,,,,,,,,,,,,,,,,
4400,0.5523742,3.8605099,,,,,,,,,,,,,,,,,
4500,0.56868297,3.8099186,,,,,,,,,,,,,,,,,
4600,0.56505084,3.8154848,,,,,,,,,,,,,,,,,
4700,0.5659034,3.782592,,,,,,,,,,,,,,,,,
4800,0.5085804,3.752678,,,,,,,,,,,,,,,,,
4821,,,0.5397511124610901,2.753583669662476,24.513584478437387,0.5449033379554749,2.7072184085845947,20.62834035354065,3000.0,0.5461623668670654,2.733055353164673,19.172664785009378,3003.0,1717.5991599559784,3697.6896362304688,1717.5991599559784,1979.8509588241573,0.0781202316284179,0.0
4900,0.5931035,3.777735,,,,,,,,,,,,,,,,,
5000,0.5547078,3.7565389,,,,,,,,,,,,,,,,,
5100,0.58252776,3.7031488,,,,,,,,,,,,,,,,,
5200,0.53691214,3.69021,,,,,,,,,,,,,,,,,
5300,0.47806272,3.6487427,,,,,,,,,,,,,,,,,
5400,0.5045373,3.6647828,,,,,,,,,,,,,,,,,
5500,0.60625297,3.6937451,,,,,,,,,,,,,,,,,
5600,0.49247485,3.6752017,,,,,,,,,,,,,,,,,
5700,0.4781562,3.6503582,,,,,,,,,,,,,,,,,
5800,0.53489184,3.6206937,,,,,,,,,,,,,,,,,
5900,0.5837455,3.6176536,,,,,,,,,,,,,,,,,
6000,0.5024573,3.591188,,,,,,,,,,,,,,,,,
6100,0.5925126,3.6254005,,,,,,,,,,,,,,,,,
6200,0.47268948,3.620698,,,,,,,,,,,,,,,,,
6300,0.43305656,3.5316153,,,,,,,,,,,,,,,,,
6400,0.46436405,3.5508022,,,,,,,,,,,,,,,,,
6500,0.42809412,3.574417,,,,,,,,,,,,,,,,,
6600,0.5007066,3.6033292,,,,,,,,,,,,,,,,,
6700,0.39962915,3.5346022,,,,,,,,,,,,,,,,,
6800,0.50777686,3.5118387,,,,,,,,,,,,,,,,,
6900,0.44078943,3.5543382,,,,,,,,,,,,,,,,,
7000,0.4331341,3.5046873,,,,,,,,,,,,,,,,,
7100,0.40931875,3.550097,,,,,,,,,,,,,,,,,
7200,0.46508738,3.4676018,,,,,,,,,,,,,,,,,
7234,,,0.5832327604293823,2.348278522491455,27.40869814351565,0.5864651203155518,2.313688039779663,23.116123270683246,3000.0,0.5904944539070129,2.3054873943328857,22.381906824340813,3003.0,2557.73996424675,5030.110518932343,2557.73996424675,2472.026073932648,0.1051478385925293,0.0
7300,0.47227982,3.4267893,,,,,,,,,,,,,,,,,
7400,0.40985486,3.390139,,,,,,,,,,,,,,,,,
7500,0.3846465,3.4081795,,,,,,,,,,,,,,,,,
7600,0.51437664,3.38502,,,,,,,,,,,,,,,,,
7700,0.47044644,3.4234283,,,,,,,,,,,,,,,,,
7800,0.43230873,3.4490268,,,,,,,,,,,,,,,,,
7900,0.4092601,3.5037918,,,,,,,,,,,,,,,,,
8000,0.35586303,3.3813496,,,,,,,,,,,,,,,,,
8100,0.35927278,3.403218,,,,,,,,,,,,,,,,,
8200,0.34859908,3.4089365,,,,,,,,,,,,,,,,,
8300,0.41517335,3.3731618,,,,,,,,,,,,,,,,,
8400,0.37998962,3.393767,,,,,,,,,,,,,,,,,
8500,0.33201575,3.2748437,,,,,,,,,,,,,,,,,
8600,0.32286876,3.2871377,,,,,,,,,,,,,,,,,
8700,0.33565,3.3740103,,,,,,,,,,,,,,,,,
8800,0.4032893,3.294327,,,,,,,,,,,,,,,,,
8900,0.41500074,3.3203263,,,,,,,,,,,,,,,,,
9000,0.32754916,3.4274917,,,,,,,,,,,,,,,,,
9100,0.35529578,3.3640332,,,,,,,,,,,,,,,,,
9200,0.34843233,3.4304583,,,,,,,,,,,,,,,,,
9300,0.3447424,3.3211696,,,,,,,,,,,,,,,,,
9400,0.32194826,3.3775349,,,,,,,,,,,,,,,,,
9500,0.30619663,3.2913477,,,,,,,,,,,,,,,,,
9600,0.3259735,3.3017902,,,,,,,,,,,,,,,,,
9649,,,0.5944892764091492,2.2307252883911133,27.885071200396293,0.608386754989624,2.125382423400879,24.95503798977198,3000.0,0.6160014271736145,2.095056533813477,23.70429726840615,3003.0,3397.9064087867737,6324.159275770187,3397.9064087867737,2925.8024010658264,0.1338064670562744,0.0
9700,0.30526662,3.2355876,,,,,,,,,,,,,,,,,
9800,0.2855355,3.3002598,,,,,,,,,,,,,,,,,
9900,0.30147123,3.2819252,,,,,,,,,,,,,,,,,
10000,0.3041153,3.2554853,,,,,,,,,,,,,,,,,
10100,0.3464335,3.361351,,,,,,,,,,,,,,,,,
10200,0.3137512,3.2769976,,,,,,,,,,,,,,,,,
10300,0.30692917,3.2743874,,,,,,,,,,,,,,,,,
10400,0.30265993,3.2707467,,,,,,,,,,,,,,,,,
10500,0.2777225,3.3604264,,,,,,,,,,,,,,,,,
10600,0.2896631,3.2825954,,,,,,,,,,,,,,,,,
10700,0.27028474,3.3261173,,,,,,,,,,,,,,,,,
10800,0.26410922,3.285944,,,,,,,,,,,,,,,,,
10900,0.25657257,3.2536361,,,,,,,,,,,,,,,,,
11000,0.32161313,3.3734434,,,,,,,,,,,,,,,,,
11100,0.2922208,3.1935005,,,,,,,,,,,,,,,,,
11200,0.2673738,3.2042654,,,,,,,,,,,,,,,,,
11300,0.2636149,3.257447,,,,,,,,,,,,,,,,,
