global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.4390554,0.45606273,,,,,,,,,,,
1,,,0.4567256082528792,0.4571109073102294,83274637.0,0.457260122944079,95000000.0,5.699930191040039,161.06252551078796,5.699930191040039,155.3625431060791,0.0,0.0
100,0.060920443,0.13237274,,,,,,,,,,,
200,0.14153314,0.12400838,,,,,,,,,,,
300,0.04789811,0.12201474,,,,,,,,,,,
400,0.06332899,0.13071565,,,,,,,,,,,
500,0.06602588,0.12573342,,,,,,,,,,,
600,0.023347335,0.13069947,,,,,,,,,,,
700,0.018870912,0.11814365,,,,,,,,,,,
800,0.015525951,0.11676782,,,,,,,,,,,
900,0.04949253,0.124277994,,,,,,,,,,,
1000,0.030646183,0.12361217,,,,,,,,,,,
1100,0.02375579,0.119545214,,,,,,,,,,,
1200,0.03587274,0.12959868,,,,,,,,,,,
1300,0.013233145,0.12115848,,,,,,,,,,,
1333,,,0.1243324928782271,0.1258608463579222,83274637.0,0.1282896378392269,95000000.0,1206.3205771446228,1384.4192180633545,1206.3205771446228,178.03247785568237,0.0186891555786132,0.0
1400,0.047744792,0.12076018,,,,,,,,,,,
1500,0.007142925,0.12050425,,,,,,,,,,,
1600,0.0554247,0.12011003,,,,,,,,,,,
1700,0.017859716,0.12459074,,,,,,,,,,,
1800,0.022750404,0.12939805,,,,,,,,,,,
1900,0.021802584,0.11915764,,,,,,,,,,,
2000,0.027529169,0.12505569,,,,,,,,,,,
2100,0.053865355,0.12188184,,,,,,,,,,,
2200,0.04906765,0.1227427,,,,,,,,,,,
2300,0.025565568,0.11876911,,,,,,,,,,,
2400,0.015909987,0.11598399,,,,,,,,,,,
2500,0.019850688,0.12243564,,,,,,,,,,,
2600,0.006253544,0.12149963,,,,,,,,,,,
2700,0.007893926,0.12330208,,,,,,,,,,,
2718,,,0.1239407410692868,0.1250111534184772,83274637.0,0.1274692210834704,95000000.0,2406.714089870453,2607.327826023102,2406.714089870453,200.46779704093933,0.0492315292358398,0.0
2800,0.031312265,0.12353721,,,,,,,,,,,
2900,0.03204437,0.12714541,,,,,,,,,,,
3000,0.018536927,0.1200861,,,,,,,,,,,
3100,0.010753124,0.12544902,,,,,,,,,,,
3200,0.024220303,0.12500334,,,,,,,,,,,
3300,0.01116332,0.12095913,,,,,,,,,,,
3400,0.012960139,0.11797331,,,,,,,,,,,
3500,0.009452975,0.12883525,,,,,,,,,,,
3600,0.0058812094,0.11662953,,,,,,,,,,,
3700,0.04272561,0.13020732,,,,,,,,,,,
3800,0.0064390437,0.12804143,,,,,,,,,,,
3900,0.0073450734,0.11895685,,,,,,,,,,,
4000,0.018193113,0.12369791,,,,,,,,,,,
4097,,,0.122401347793873,0.1246056620738406,83274637.0,0.1269236832648026,95000000.0,3606.766949415207,3830.107353925705,3606.766949415207,223.11623096466064,0.0789625644683837,0.0
4100,0.011242135,0.122081175,,,,,,,,,,,
4200,0.0065874993,0.12100526,,,,,,,,,,,
4300,0.024711892,0.12976725,,,,,,,,,,,
4400,0.008941987,0.11569895,,,,,,,,,,,
4500,0.006363438,0.12152226,,,,,,,,,,,
4600,0.010843002,0.12032419,,,,,,,,,,,
4700,0.014552275,0.12052624,,,,,,,,,,,
4800,0.0063895113,0.12140711,,,,,,,,,,,
4900,0.0066234646,0.13600604,,,,,,,,,,,
5000,0.009849289,0.12368231,,,,,,,,,,,
5100,0.006253873,0.12126851,,,,,,,,,,,
5200,0.026139744,0.12531343,,,,,,,,,,,
5300,0.006885868,0.1177107,,,,,,,,,,,
5400,0.011416498,0.12058384,,,,,,,,,,,
5459,,,0.1230073884223242,0.1242982392105774,83274637.0,0.1267341659333881,95000000.0,4807.293630361557,5053.537276268005,4807.293630361557,245.94660782814023,0.1041405200958252,0.0
5500,0.012883707,0.12942463,,,,,,,,,,,
5600,0.023014875,0.1214724,,,,,,,,,,,
5700,0.006456543,0.12836507,,,,,,,,,,,
5800,0.009441953,0.12329052,,,,,,,,,,,
5900,0.013367521,0.123413086,,,,,,,,,,,
6000,0.018386548,0.11985607,,,,,,,,,,,
6100,0.011404792,0.12755816,,,,,,,,,,,
6200,0.015975421,0.12877865,,,,,,,,,,,
6300,0.011644255,0.12303987,,,,,,,,,,,
6400,0.014322759,0.12339946,,,,,,,,,,,
6500,0.016656501,0.12394816,,,,,,,,,,,
6600,0.011252226,0.12001917,,,,,,,,,,,
6700,0.015471942,0.12322952,,,,,,,,,,,
6800,0.007275899,0.12993953,,,,,,,,,,,
6819,,,0.1250520946001106,0.1240117562370761,83274637.0,0.126314287109375,95000000.0,6008.01816034317,6277.2343101501465,6008.01816034317,268.8433749675751,0.13230562210083,0.0
6900,0.018681353,0.12591648,,,,,,,,,,,
7000,0.007765912,0.11548301,,,,,,,,,,,
7100,0.0061852993,0.12502441,,,,,,,,,,,
7200,0.005432842,0.12556644,,,,,,,,,,,
7300,0.011321146,0.11464477,,,,,,,,,,,
7400,0.0071827606,0.119832076,,,,,,,,,,,
7500,0.016439138,0.12669729,,,,,,,,,,,
