global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.094406,11.156319,,,,,,,,,,,,,,,,,
1,,,0.000589943723753,11.17578411102295,0.0,0.0004835649742744,11.208685874938965,0.0,3000.0,0.0007088489946909,11.19086742401123,0.0,3003.0,26.80888557434082,901.8242671489716,26.80888557434082,875.0153396129608,0.0,0.0
100,0.2789818,9.017484,,,,,,,,,,,,,,,,,
200,0.22253759,8.678911,,,,,,,,,,,,,,,,,
300,0.8212967,8.304846,,,,,,,,,,,,,,,,,
400,1.0460213,8.050576,,,,,,,,,,,,,,,,,
500,0.4112684,7.799064,,,,,,,,,,,,,,,,,
600,0.81785643,7.6367874,,,,,,,,,,,,,,,,,
700,0.84371156,7.4954195,,,,,,,,,,,,,,,,,
800,0.5832978,7.2425513,,,,,,,,,,,,,,,,,
900,0.6592276,7.1811166,,,,,,,,,,,,,,,,,
1000,0.881578,6.993343,,,,,,,,,,,,,,,,,
1100,0.61998314,6.80459,,,,,,,,,,,,,,,,,
1200,0.68671936,6.73033,,,,,,,,,,,,,,,,,
1300,0.7108012,6.6308146,,,,,,,,,,,,,,,,,
1400,0.46918193,6.4935446,,,,,,,,,,,,,,,,,
1500,0.49586278,6.383498,,,,,,,,,,,,,,,,,
1600,0.6141541,6.289968,,,,,,,,,,,,,,,,,
1700,0.7745579,6.1829786,,,,,,,,,,,,,,,,,
1800,0.6876537,6.12112,,,,,,,,,,,,,,,,,
1900,0.7547601,6.0416555,,,,,,,,,,,,,,,,,
2000,0.7007388,6.011113,,,,,,,,,,,,,,,,,
2100,0.78674036,5.8610315,,,,,,,,,,,,,,,,,
2200,0.71506965,5.7423778,,,,,,,,,,,,,,,,,
2300,0.5899731,5.6556196,,,,,,,,,,,,,,,,,
2380,,,0.4236276149749756,3.945071458816528,15.317106956985512,0.4104350805282593,4.064540863037109,10.871939591746957,3000.0,0.4006739854812622,4.220223426818848,9.119701587852656,3003.0,866.9106457233429,2464.131246328354,866.9106457233429,1597.1277873516085,0.0198423862457275,0.0
2400,0.7224027,5.615198,,,,,,,,,,,,,,,,,
2500,0.7253809,5.550821,,,,,,,,,,,,,,,,,
2600,0.51509917,5.381719,,,,,,,,,,,,,,,,,
2700,0.5492712,5.3829627,,,,,,,,,,,,,,,,,
2800,0.52376425,5.3086543,,,,,,,,,,,,,,,,,
2900,0.5224447,5.2594876,,,,,,,,,,,,,,,,,
3000,0.7560966,5.3161163,,,,,,,,,,,,,,,,,
3100,0.4734177,5.1533465,,,,,,,,,,,,,,,,,
