global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,3.1439998,1.060551,,,,,,,,,,,,,,
1,,,0.2627705335617065,1.0446930612836565,0.2540589237588808,1.0516581366286226,3554.0,0.2770697139089116,1.0479628268116448,3581.0,59.85227084159851,261.79093384742737,59.85227084159851,201.9382359981537,0.0,0.0
100,0.23321553,0.30819118,,,,,,,,,,,,,,
200,0.11195041,0.3158505,,,,,,,,,,,,,,
300,0.13359508,0.37293983,,,,,,,,,,,,,,
335,,,0.701645987374442,0.3110035146985735,0.6807306962665307,0.3285286494970456,3554.0,0.6987030617320581,0.3303551267758657,3581.0,139.9840567111969,346.37930965423584,139.9840567111969,206.35710859298703,0.0266585350036621,0.0
400,0.16403794,0.3417199,,,,,,,,,,,,,,
500,0.35904095,0.2436567,,,,,,,,,,,,,,
575,,,0.7159358433314732,0.2962665898459298,0.6952521174424944,0.3132285062825338,3554.0,0.7129093054052639,0.3153754188774085,3581.0,220.16344499588013,430.6433699131012,220.16344499588013,210.4021155834198,0.0584521293640136,0.0
600,0.22918318,0.4484424,,,,,,,,,,,,,,
700,0.15962915,0.29093578,,,,,,,,,,,,,,
800,0.15682052,0.25154912,,,,,,,,,,,,,,
819,,,0.7233612196786063,0.2905894688197544,0.7024809193866066,0.3076199009368845,3554.0,0.7195823006841664,0.3100092679353707,3581.0,300.4242124557495,514.9826629161835,300.4242124557495,214.4450180530548,0.0861587524414062,0.0
900,0.18187135,0.30439633,,,,,,,,,,,,,,
1000,0.2045504,0.30810946,,,,,,,,,,,,,,
1100,0.11339661,0.22276036,,,,,,,,,,,,,,
1101,,,0.7253414562770298,0.288079023361206,0.7046824440770962,0.3050946529218838,3554.0,0.7217647037969491,0.3074294630624302,3581.0,380.4962332248688,599.080043554306,380.4962332248688,218.42980575561523,0.1170845031738281,0.0
1200,0.10154707,0.22867537,,,,,,,,,,,,,,
1300,0.1795263,0.28138018,,,,,,,,,,,,,,
1400,0.10051033,0.325538,,,,,,,,,,,,,,
1448,,,0.7296791076660156,0.2847149882997785,0.7086637085853967,0.3015287503407252,3554.0,0.7258353959046007,0.3039168651062028,3581.0,460.5888922214508,683.2501714229584,460.5888922214508,222.472510099411,0.139963150024414,0.0
1500,0.12799148,0.3558095,,,,,,,,,,,,,,
1600,0.4833647,0.26929894,,,,,,,,,,,,,,
1700,0.11267589,0.3438891,,,,,,,,,,,,,,
1795,,,0.7306084632873535,0.2828859601702009,0.7098449123127111,0.2997184757711381,3554.0,0.72690447413432,0.3018747695628839,3581.0,540.682363986969,767.4192833900452,540.682363986969,226.5124213695526,0.1640286445617675,0.0
1800,0.07430064,0.31205225,,,,,,,,,,,,,,
1900,0.11098793,0.28589976,,,,,,,,,,,,,,
2000,0.1468534,0.32428974,,,,,,,,,,,,,,
2100,0.16765969,0.2711564,,,,,,,,,,,,,,
2138,,,0.7342242513384137,0.2797163895198277,0.7135088764420371,0.2965493532265581,3554.0,0.7305610611997347,0.2987084749589849,3581.0,620.6480689048767,851.461841583252,620.6480689048767,230.55322122573853,0.1883833408355713,0.0
2200,0.3273626,0.27088073,,,,,,,,,,,,,,
2300,0.1850665,0.26120925,,,,,,,,,,,,,,
2400,0.10146901,0.28668258,,,,,,,,,,,,,,
2483,,,0.7338643074035645,0.2790699345724923,0.7125804001653067,0.2963122537985369,3554.0,0.7298840669505725,0.2980554107180257,3581.0,700.6400139331818,935.5314061641692,700.6400139331818,234.595507144928,0.2120945453643798,0.0
2500,0.45730257,0.25804973,,,,,,,,,,,,,,
2600,0.26106492,0.29555973,,,,,,,,,,,,,,
2700,0.16448455,0.28302655,,,,,,,,,,,,,,
2800,0.18751283,0.36252093,,,,,,,,,,,,,,
2827,,,0.7344011579241071,0.2799262319292341,0.7127563270478686,0.2976572941579909,3554.0,0.7299614474614283,0.2993399953748953,3581.0,780.7869019508362,1019.762139558792,780.7869019508362,238.6415295600891,0.2383944988250732,0.0
2900,0.27136546,0.29439998,,,,,,,,,,,,,,
3000,0.11570551,0.29549962,,,,,,,,,,,,,,
3100,0.116184644,0.25374565,,,,,,,,,,,,,,
3172,,,0.736753123147147,0.2764573097229004,0.7148686174468908,0.2941534571521525,3554.0,0.7324209205267384,0.2957288821427324,3581.0,860.8440716266632,1103.9026482105255,860.8440716266632,242.68945455551147,0.2622091770172119,0.0
3200,0.06710736,0.23836656,,,,,,,,,,,,,,
3300,0.14380574,0.24846716,,,,,,,,,,,,,,
3400,0.08686723,0.30059132,,,,,,,,,,,,,,
3500,0.0847157,0.37954518,,,,,,,,,,,,,,
3518,,,0.7362453596932548,0.2760745627539498,0.7144251250791361,0.2935877227353862,3554.0,0.7318410780202806,0.2952064784736282,3581.0,940.8284964561462,1187.9676916599274,940.8284964561462,246.73223423957825,0.2885496616363525,0.0
3600,0.21599619,0.31775892,,,,,,,,,,,,,,
3700,0.12707807,0.2818855,,,,,,,,,,,,,,
3800,0.10849389,0.312777,,,,,,,,,,,,,,
3864,,,0.7379326139177594,0.2750032118388584,0.7164150703872397,0.292320410321117,3554.0,0.7339011040255864,0.2939418354902611,3581.0,1020.884655714035,1272.1013383865356,1020.884655714035,250.771879196167,0.3149302005767822,0.0
3900,0.134618,0.32027742,,,,,,,,,,,,,,
4000,0.34981877,0.32063198,,,,,,,,,,,,,,
4100,0.064835116,0.24862656,,,,,,,,,,,,,,
4200,0.2520938,0.3136771,,,,,,,,,,,,,,
4210,,,0.7395276342119489,0.2749361651284354,0.7178736629282146,0.2922343016341622,3554.0,0.7353148834560876,0.2939124513491343,3581.0,1100.9783499240875,1356.273472070694,1100.9783499240875,254.8140749931336,0.3396608829498291,0.0
4300,0.33932775,0.28513783,,,,,,,,,,,,,,
4400,0.29674837,0.25459912,,,,,,,,,,,,,,
4500,0.27361515,0.25448486,,,,,,,,,,,,,,
4557,,,0.7383965764726911,0.2739115953445434,0.7164452273186902,0.2914530378952413,3554.0,0.7339554408248394,0.2929939071881108,3581.0,1181.0696263313291,1440.442661523819,1181.0696263313291,258.85726594924927,0.3627669811248779,0.0
4600,0.09162731,0.2601068,,,,,,,,,,,,,,
4700,0.19313976,0.2633643,,,,,,,,,,,,,,
4800,0.10283897,0.24066274,,,,,,,,,,,,,,
4900,0.1425236,0.36630383,,,,,,,,,,,,,,
4903,,,0.7381105422973633,0.2737909896033151,0.716312990204699,0.2913709134953573,3554.0,0.7338327228340548,0.2929291734479719,3581.0,1261.114327430725,1524.5650746822355,1261.114327430725,262.89908838272095,0.3872425556182861,0.0
5000,0.091771156,0.29311067,,,,,,,,,,,,,,
5100,0.10604722,0.29929593,,,,,,,,,,,,,,
5200,0.11475777,0.31058818,,,,,,,,,,,,,,
5250,,,0.7396706853594098,0.2748546430042812,0.7181709044826252,0.2925264941351294,3554.0,0.7355187316741134,0.2939848890520281,3581.0,1341.1720926761627,1608.7040948867798,1341.1720926761627,266.94445538520813,0.4113929271697998,0.0
5300,0.15027986,0.2733723,,,,,,,,,,,,,,
5400,0.18772124,0.29706645,,,,,,,,,,,,,,
5500,0.3862569,0.29449475,,,,,,,,,,,,,,
5595,,,0.7387257984706334,0.2739379235676357,0.7167135484445343,0.2916653729182787,3554.0,0.734532283558189,0.2929919982415875,3581.0,1421.244796037674,1692.861694574356,1421.244796037674,270.99406599998474,0.4351603984832763,0.0
5600,0.13194713,0.23527743,,,,,,,,,,,,,,
5700,0.06332706,0.43102854,,,,,,,,,,,,,,
5800,0.1874859,0.2966962,,,,,,,,,,,,,,
5900,0.18979852,0.26670957,,,,,,,,,,,,,,
5942,,,0.7375413349696568,0.2742792197636196,0.7160116269740081,0.2914842252457618,3554.0,0.7336387602319534,0.2930430284727555,3581.0,1501.4044897556305,1777.1012864112854,1501.4044897556305,275.0368390083313,0.4607465267181396,0.0
6000,0.43335584,0.28619003,,,,,,,,,,,,,,
6100,0.19488063,0.27641276,,,,,,,,,,,,,,
6200,0.18805186,0.29880327,,,,,,,,,,,,,,
6286,,,0.7392627171107701,0.2733951125826154,0.7179266264684159,0.2906868182747432,3554.0,0.7351854841524714,0.292247918157463,3581.0,1581.499148607254,1861.2766053676603,1581.499148607254,279.081964969635,0.4848289489746094,0.0
6300,0.22040027,0.28667253,,,,,,,,,,,,,,
6400,0.16853455,0.2887952,,,,,,,,,,,,,,
6500,0.14094588,0.35136518,,,,,,,,,,,,,,
6600,0.26334694,0.24784112,,,,,,,,,,,,,,
6631,,,0.7411042622157505,0.2734493698392595,0.719641655968627,0.2909812433503623,3554.0,0.7369198984222284,0.2924636632029286,3581.0,1661.6680040359497,1945.527051448822,1661.6680040359497,283.1269326210022,0.5097403526306152,0.0
