global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.34623566,6.907756,,,,,,,,,,,,,,
1,,,0.0009374999790452,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,42.4552264213562,82.20404887199402,42.4552264213562,39.74869656562805,0.0,0.0
100,0.52649134,6.8752217,,,,,,,,,,,,,,
200,0.6455489,6.762695,,,,,,,,,,,,,,
300,0.9554784,6.664156,,,,,,,,,,,,,,
400,1.2258662,6.5584536,,,,,,,,,,,,,,
500,1.0467201,6.606578,,,,,,,,,,,,,,
600,1.3212372,6.3255124,,,,,,,,,,,,,,
700,1.0250409,6.6177244,,,,,,,,,,,,,,
800,1.4597263,6.1847243,,,,,,,,,,,,,,
900,1.3834128,6.2025757,,,,,,,,,,,,,,
916,,,0.033281248062849,5.910701751708984,0.0322199985384941,5.930098056793213,50000.0,0.0265000015497207,6.053519248962402,10000.0,462.6057026386261,523.893707036972,462.6057026386261,61.21135711669922,0.0267481803894042,0.0
1000,1.2575092,6.2155066,,,,,,,,,,,,,,
1100,1.7716651,6.315992,,,,,,,,,,,,,,
1200,1.2396065,6.387168,,,,,,,,,,,,,,
1300,1.1396884,6.582673,,,,,,,,,,,,,,
1400,2.2026162,6.0538697,,,,,,,,,,,,,,
1500,1.2853497,5.866876,,,,,,,,,,,,,,
1600,1.1889507,6.466545,,,,,,,,,,,,,,
1700,1.2360677,6.5629263,,,,,,,,,,,,,,
1800,0.9384642,5.618886,,,,,,,,,,,,,,
1880,,,0.0802929699420929,5.186488628387451,0.0763599947094917,5.225624084472656,50000.0,0.0578000023961067,5.46556282043457,10000.0,882.6500160694122,965.783664226532,882.6500160694122,82.97681331634521,0.0551979541778564,0.0
1900,1.1694982,5.656164,,,,,,,,,,,,,,
2000,1.4329913,5.602625,,,,,,,,,,,,,,
2100,0.9682188,5.480915,,,,,,,,,,,,,,
2200,0.92416865,5.6872034,,,,,,,,,,,,,,
2300,1.2457442,5.5147076,,,,,,,,,,,,,,
2400,1.0248544,5.362468,,,,,,,,,,,,,,
2500,1.0472493,5.6927185,,,,,,,,,,,,,,
2600,1.1046997,5.264293,,,,,,,,,,,,,,
2700,1.1807617,5.2227693,,,,,,,,,,,,,,
