global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.866031,10.961176,,,,,,,,,,,,,,,,,
1,,,0.0005722984205931,10.961396217346191,0.0,0.0004835649742744,10.980294227600098,0.0,3000.0,0.0007088489946909,10.966498374938965,0.0,3003.0,31.81131482124329,891.5330049991608,31.81131482124329,859.7216436862946,0.0,0.0
100,0.16309346,8.263269,,,,,,,,,,,,,,,,,
200,0.34484667,7.440059,,,,,,,,,,,,,,,,,
300,0.63377917,6.8457956,,,,,,,,,,,,,,,,,
400,0.38963336,6.378072,,,,,,,,,,,,,,,,,
500,0.48827317,5.8951907,,,,,,,,,,,,,,,,,
600,0.6352641,5.5688763,,,,,,,,,,,,,,,,,
700,0.4651748,5.335845,,,,,,,,,,,,,,,,,
800,0.6650674,5.0998588,,,,,,,,,,,,,,,,,
900,0.5952439,4.8158417,,,,,,,,,,,,,,,,,
1000,0.45355114,4.576095,,,,,,,,,,,,,,,,,
1100,0.74068767,4.2885394,,,,,,,,,,,,,,,,,
1200,0.47756234,4.0769176,,,,,,,,,,,,,,,,,
1300,0.4636505,3.9753165,,,,,,,,,,,,,,,,,
1400,0.44879144,3.8670514,,,,,,,,,,,,,,,,,
1500,0.5330285,3.6312335,,,,,,,,,,,,,,,,,
1600,0.4711977,3.5142868,,,,,,,,,,,,,,,,,
1700,0.530964,3.4039948,,,,,,,,,,,,,,,,,
1800,0.4621943,3.3233066,,,,,,,,,,,,,,,,,
1900,0.40230772,3.224062,,,,,,,,,,,,,,,,,
2000,0.45852113,3.2079709,,,,,,,,,,,,,,,,,
2100,0.5029061,3.1433392,,,,,,,,,,,,,,,,,
2200,0.41940093,3.1078396,,,,,,,,,,,,,,,,,
2300,0.42138833,3.0280933,,,,,,,,,,,,,,,,,
2358,,,0.5152115821838379,2.8529348373413086,22.559558180281464,0.5171913504600525,2.8354642391204834,18.385519591984245,3000.0,0.5146359801292419,2.8742642402648926,17.058797586743704,3003.0,871.7362320423126,2207.681263446808,871.7362320423126,1335.8473892211914,0.0207440853118896,0.0
2400,0.46809822,2.9291873,,,,,,,,,,,,,,,,,
2500,0.32862297,3.0117266,,,,,,,,,,,,,,,,,
2600,0.28408188,2.78312,,,,,,,,,,,,,,,,,
2700,0.3019398,2.8127127,,,,,,,,,,,,,,,,,
2800,0.3594723,2.807623,,,,,,,,,,,,,,,,,
2900,0.32453093,2.731549,,,,,,,,,,,,,,,,,
3000,0.31618467,2.7165205,,,,,,,,,,,,,,,,,
3100,0.25403133,2.7085886,,,,,,,,,,,,,,,,,
3200,0.22609653,2.6690097,,,,,,,,,,,,,,,,,
3300,0.2506487,2.5562294,,,,,,,,,,,,,,,,,
3400,0.24169265,2.5666554,,,,,,,,,,,,,,,,,
3500,0.22280082,2.5251405,,,,,,,,,,,,,,,,,
3600,0.20590897,2.590582,,,,,,,,,,,,,,,,,
3700,0.23239714,2.521679,,,,,,,,,,,,,,,,,
3800,0.21177395,2.4962928,,,,,,,,,,,,,,,,,
3900,0.20283979,2.4602695,,,,,,,,,,,,,,,,,
4000,0.2078164,2.4844992,,,,,,,,,,,,,,,,,
4100,0.2269506,2.458177,,,,,,,,,,,,,,,,,
4200,0.20316899,2.4283948,,,,,,,,,,,,,,,,,
4300,0.17778632,2.3816006,,,,,,,,,,,,,,,,,
4400,0.18044074,2.3866296,,,,,,,,,,,,,,,,,
4500,0.20165826,2.3364925,,,,,,,,,,,,,,,,,
4600,0.18896493,2.3311348,,,,,,,,,,,,,,,,,
4700,0.19070664,2.3162134,,,,,,,,,,,,,,,,,
4718,,,0.5785308480262756,2.2483465671539307,27.16403077071468,0.5911272168159485,2.150007486343384,23.69484945016536,3000.0,0.5932833552360535,2.123673677444458,22.21513088925912,3003.0,1711.7513601779938,3551.384021759033,1711.7513601779938,1839.4309611320496,0.0474672317504882,0.0
4800,0.20917065,2.3020875,,,,,,,,,,,,,,,,,
4900,0.18689896,2.3381739,,,,,,,,,,,,,,,,,
5000,0.16452,2.3209057,,,,,,,,,,,,,,,,,
5100,0.16782556,2.268517,,,,,,,,,,,,,,,,,
5200,0.1513035,2.2577548,,,,,,,,,,,,,,,,,
