global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
5929,,,0.9890048503875732,0.037666168063879,0.2492122623022253,0.9859474897384644,0.0476326122879982,0.2099731371247263,43793.0,0.9850403666496276,0.0503462068736553,0.208156916642346,43793.0,1938.92862033844,3243.315950632096,1938.92862033844,1304.0002155303955,0.228431224822998,0.0
6000,0.04698095,0.03883712,,,,,,,,,,,,,,,,,
6100,0.06188108,0.04108072,,,,,,,,,,,,,,,,,
6200,0.05451571,0.04168801,,,,,,,,,,,,,,,,,
6300,0.03294317,0.039874174,,,,,,,,,,,,,,,,,
6400,0.06481031,0.038348474,,,,,,,,,,,,,,,,,
6500,0.033674125,0.04140754,,,,,,,,,,,,,,,,,
6600,0.120273255,0.041419543,,,,,,,,,,,,,,,,,
6671,,,0.9889360070228576,0.0377796180546283,0.2379796961105802,0.9859402179718018,0.0476204343140125,0.2081422313743727,43793.0,0.9851086139678956,0.0502110980451107,0.2054259037859834,43793.0,2179.0981862545013,3611.34085059166,2179.0981862545013,1431.8058450222015,0.2576940059661865,0.0
6700,0.03469106,0.037372705,,,,,,,,,,,,,,,,,
6800,0.022515722,0.0377814,,,,,,,,,,,,,,,,,
6900,0.026119946,0.041093037,,,,,,,,,,,,,,,,,
7000,0.030386731,0.03912495,,,,,,,,,,,,,,,,,
7100,0.030894337,0.041010585,,,,,,,,,,,,,,,,,
7200,0.041554697,0.04050669,,,,,,,,,,,,,,,,,
7300,0.027826529,0.043813102,,,,,,,,,,,,,,,,,
7400,0.047152445,0.040902786,,,,,,,,,,,,,,,,,
7435,,,0.988992154598236,0.0374467149376869,0.2587613004191066,0.9860936403274536,0.0468455292284488,0.2130963062876768,43793.0,0.9852202534675598,0.0493000671267509,0.2102784090723167,43793.0,2419.294604063034,3981.51959657669,2419.294604063034,1561.7417376041412,0.2840974330902099,0.0
7500,0.0222725,0.03943813,,,,,,,,,,,,,,,,,
7600,0.04427028,0.04154034,,,,,,,,,,,,,,,,,
7700,0.036491398,0.041324344,,,,,,,,,,,,,,,,,
7800,0.029278072,0.04033684,,,,,,,,,,,,,,,,,
7900,0.040302698,0.037165612,,,,,,,,,,,,,,,,,
8000,0.02070745,0.037089575,,,,,,,,,,,,,,,,,
8100,0.028944122,0.042165957,,,,,,,,,,,,,,,,,
8200,,,0.9891512393951416,0.0365913212299346,0.2610685178132049,0.9860554933547974,0.0468535237014293,0.2194025693009693,43793.0,0.9851284027099608,0.0495839193463325,0.2186114076168888,43793.0,2659.541307926178,4349.7693428993225,2659.541307926178,1689.6956989765167,0.3128774166107178,0.0
8200,0.029113641,0.039200824,,,,,,,,,,,,,,,,,
8300,0.023435581,0.037064824,,,,,,,,,,,,,,,,,
8400,0.022859948,0.038437687,,,,,,,,,,,,,,,,,
8500,0.022414241,0.03927794,,,,,,,,,,,,,,,,,
8600,0.025479553,0.036575112,,,,,,,,,,,,,,,,,
8700,0.024763986,0.038926344,,,,,,,,,,,,,,,,,
8800,0.019348001,0.038770553,,,,,,,,,,,,,,,,,
8900,0.023141053,0.042666838,,,,,,,,,,,,,,,,,
8952,,,0.9891273975372314,0.0366468429565429,0.2791102145414673,0.98610258102417,0.0462144687771797,0.2229995826347963,43793.0,0.9851734638214112,0.0489959381520748,0.2270890372536049,43793.0,2899.5621926784515,4718.630972146988,2899.5621926784515,1818.4839661121368,0.3447468280792236,0.0
9000,0.032405514,0.04136744,,,,,,,,,,,,,,,,,
9100,0.032768775,0.03837514,,,,,,,,,,,,,,,,,
9200,0.02595819,0.035796627,,,,,,,,,,,,,,,,,
9300,0.022824308,0.038895026,,,,,,,,,,,,,,,,,
9400,0.04191608,0.03941328,,,,,,,,,,,,,,,,,
9500,0.019603932,0.037712663,,,,,,,,,,,,,,,,,
9600,0.026229313,0.041768868,,,,,,,,,,,,,,,,,
9700,0.042415008,0.037701745,,,,,,,,,,,,,,,,,
9706,,,0.98965722322464,0.0352459549903869,0.2876529415246712,0.9862491488456726,0.0461195521056652,0.2190752261508913,43793.0,0.9853731393814088,0.0486707761883735,0.2265520511640969,43793.0,3139.516256332397,5088.528156280518,3139.516256332397,1948.37777876854,0.3719336986541748,0.0
9800,0.030849984,0.03806647,,,,,,,,,,,,,,,,,
9900,0.035649996,0.04088165,,,,,,,,,,,,,,,,,
10000,0.023316192,0.0371916,,,,,,,,,,,,,,,,,
10100,0.023753794,0.03463267,,,,,,,,,,,,,,,,,
10200,0.021373006,0.03580541,,,,,,,,,,,,,,,,,
10300,0.024758235,0.038538456,,,,,,,,,,,,,,,,,
10400,0.029672412,0.036037564,,,,,,,,,,,,,,,,,
