global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.657526,6.9289646,,,,,,,,,,,,,,
1,,,0.0011559311533346,6.912258625030518,0.0011599999852478,6.912920475006104,50000.0,0.0010999999940395,6.912676334381104,10000.0,50.636836767196655,87.66242718696594,50.636836767196655,37.02550530433655,0.0,0.0
100,0.67666143,6.8072534,,,,,,,,,,,,,,
200,0.78953254,6.5714636,,,,,,,,,,,,,,
300,1.0923727,6.297056,,,,,,,,,,,,,,
400,1.7477684,6.0672746,,,,,,,,,,,,,,
500,2.9927757,5.8596,,,,,,,,,,,,,,
600,2.1546376,5.5608215,,,,,,,,,,,,,,
700,4.517483,5.4487896,,,,,,,,,,,,,,
800,3.3539162,5.3285174,,,,,,,,,,,,,,
900,3.6423876,5.1471033,,,,,,,,,,,,,,
1000,7.5269604,5.0822763,,,,,,,,,,,,,,
1100,3.4165585,4.907184,,,,,,,,,,,,,,
1200,5.3943887,4.8350253,,,,,,,,,,,,,,
1300,5.1038704,4.753716,,,,,,,,,,,,,,
1400,4.227055,4.7139797,,,,,,,,,,,,,,
1500,6.338866,4.6383233,,,,,,,,,,,,,,
1506,,,0.1685267835855484,4.295879364013672,0.1553799957036972,4.445466995239258,50000.0,0.1157000064849853,4.921426296234131,10000.0,560.612095117569,615.5135684013367,560.612095117569,54.821940660476685,0.0259764194488525,0.0
1600,3.602686,4.326953,,,,,,,,,,,,,,
1700,6.169819,4.2370305,,,,,,,,,,,,,,
1800,3.718819,4.359346,,,,,,,,,,,,,,
1900,5.597655,4.113846,,,,,,,,,,,,,,
2000,5.1305475,4.093711,,,,,,,,,,,,,,
2100,3.6263578,3.978268,,,,,,,,,,,,,,
2200,4.6840706,3.9218912,,,,,,,,,,,,,,
2300,5.1681156,3.760606,,,,,,,,,,,,,,
2400,5.457753,3.7075934,,,,,,,,,,,,,,
2500,3.4265144,3.8183892,,,,,,,,,,,,,,
2600,3.7355082,3.6895592,,,,,,,,,,,,,,
2700,4.214271,3.5903523,,,,,,,,,,,,,,
2800,3.3201556,3.5113857,,,,,,,,,,,,,,
2900,5.2850175,3.5779188,,,,,,,,,,,,,,
3000,4.145559,3.3186173,,,,,,,,,,,,,,
3010,,,0.3398238122463226,3.0561516284942627,0.3103599846363067,3.23838472366333,50000.0,0.2299000173807144,3.900252103805542,10000.0,1070.6800384521484,1143.3546075820925,1070.6800384521484,72.51834774017334,0.0519242286682128,0.0
3100,3.246496,3.4448068,,,,,,,,,,,,,,
3200,3.4527159,3.264643,,,,,,,,,,,,,,
3300,4.1519017,3.2103176,,,,,,,,,,,,,,
3400,4.078003,3.1943722,,,,,,,,,,,,,,
3500,3.2231007,3.185532,,,,,,,,,,,,,,
3600,2.6749697,3.2584863,,,,,,,,,,,,,,
3700,3.2727952,3.1020627,,,,,,,,,,,,,,
3800,2.666453,3.0043623,,,,,,,,,,,,,,
3900,3.5453992,3.0854638,,,,,,,,,,,,,,
4000,4.5209274,2.976467,,,,,,,,,,,,,,
4100,2.6866682,2.9609876,,,,,,,,,,,,,,
4200,2.3391855,2.8132596,,,,,,,,,,,,,,
4300,1.8893396,2.9623075,,,,,,,,,,,,,,
4400,2.522821,2.9317822,,,,,,,,,,,,,,
4500,2.5833626,2.76918,,,,,,,,,,,,,,
4516,,,0.4670958220958709,2.33237099647522,0.4367599785327911,2.513633728027344,50000.0,0.3290000259876251,3.260066509246826,10000.0,1580.6047410964966,1671.3481891155243,1580.6047410964966,90.5101797580719,0.0783896446228027,0.0
4600,2.4197211,2.6936593,,,,,,,,,,,,,,
4700,2.5546973,2.771473,,,,,,,,,,,,,,
4800,2.79085,2.7218592,,,,,,,,,,,,,,
4900,2.8869984,2.7673228,,,,,,,,,,,,,,
5000,2.4276319,2.4799004,,,,,,,,,,,,,,
5100,3.2785597,2.641571,,,,,,,,,,,,,,
5200,2.476498,2.6835773,,,,,,,,,,,,,,
5300,1.9361541,2.5609272,,,,,,,,,,,,,,
5400,2.1537385,2.5857716,,,,,,,,,,,,,,
5500,2.4376178,2.4532218,,,,,,,,,,,,,,
5600,2.1043835,2.4809277,,,,,,,,,,,,,,
5700,1.9887441,2.5969777,,,,,,,,,,,,,,
5800,2.5086627,2.3662534,,,,,,,,,,,,,,
5900,1.9563696,2.49879,,,,,,,,,,,,,,
6000,1.7836419,2.4159715,,,,,,,,,,,,,,
6024,,,0.5397201776504517,1.9583563804626465,0.5008000135421753,2.161590337753296,50000.0,0.385200023651123,2.8951804637908936,10000.0,2090.61950135231,2199.170222520828,2090.61950135231,108.24045300483704,0.1055688858032226,0.0
6100,2.9876266,2.440539,,,,,,,,,,,,,,
6200,2.7071178,2.4052255,,,,,,,,,,,,,,
6300,2.5472949,2.3594134,,,,,,,,,,,,,,
6400,2.1158903,2.2873662,,,,,,,,,,,,,,
6500,1.9126642,2.414003,,,,,,,,,,,,,,
6600,2.2499678,2.3849027,,,,,,,,,,,,,,
6700,2.0178277,2.2122934,,,,,,,,,,,,,,
6800,1.8515116,2.4102569,,,,,,,,,,,,,,
6900,1.9297482,2.324358,,,,,,,,,,,,,,
7000,2.0023816,2.303808,,,,,,,,,,,,,,
7100,1.889976,2.1549196,,,,,,,,,,,,,,
7200,1.8127017,2.3308518,,,,,,,,,,,,,,
7300,1.9996278,2.1906328,,,,,,,,,,,,,,
7400,2.2833817,2.3201852,,,,,,,,,,,,,,
7500,2.2674625,2.320732,,,,,,,,,,,,,,
7532,,,0.5772082209587097,1.7723355293273926,0.5385599732398987,1.980293869972229,50000.0,0.4175000190734863,2.7358531951904297,10000.0,2600.636000394821,2727.06293296814,2600.636000394821,126.03376865386964,0.1374855041503906,0.0
7600,1.8938649,2.2189138,,,,,,,,,,,,,,
7700,2.0402815,2.2864509,,,,,,,,,,,,,,
7800,1.47741,2.118788,,,,,,,,,,,,,,
7900,2.0307086,2.2176416,,,,,,,,,,,,,,
8000,1.9181911,2.2592525,,,,,,,,,,,,,,
8100,1.5913484,2.2665048,,,,,,,,,,,,,,
8200,2.527324,2.1704516,,,,,,,,,,,,,,
8300,1.4717153,2.1894093,,,,,,,,,,,,,,
8400,1.4844755,2.2654712,,,,,,,,,,,,,,
8500,2.0958068,2.1933382,,,,,,,,,,,,,,
8600,2.0629108,2.1816525,,,,,,,,,,,,,,
8700,1.5253865,2.0567057,,,,,,,,,,,,,,
8800,2.3026583,2.1241155,,,,,,,,,,,,,,
8900,1.7496341,2.2159452,,,,,,,,,,,,,,
9000,1.6352738,2.1241906,,,,,,,,,,,,,,
9041,,,0.6067641973495483,1.6266725063323977,0.5556600093841553,1.8939425945281985,50000.0,0.4307000339031219,2.655898094177246,10000.0,3110.8438572883606,3255.172870874405,3110.8438572883606,143.8541338443756,0.1674284934997558,0.0
9100,1.5973908,2.1883776,,,,,,,,,,,,,,
9200,2.2739532,2.0848994,,,,,,,,,,,,,,
9300,2.0963585,2.1172912,,,,,,,,,,,,,,
9400,2.1055305,2.1734037,,,,,,,,,,,,,,
9500,1.8525425,2.0832136,,,,,,,,,,,,,,
9600,1.9400412,2.0993717,,,,,,,,,,,,,,
9700,1.5856556,2.0492663,,,,,,,,,,,,,,
9800,2.4669287,2.0696476,,,,,,,,,,,,,,
9900,1.5126727,2.0737658,,,,,,,,,,,,,,
10000,1.4863596,2.0302773,,,,,,,,,,,,,,
10100,1.6509439,2.0372763,,,,,,,,,,,,,,
10200,1.8251327,2.099382,,,,,,,,,,,,,,
10300,1.5538676,2.066015,,,,,,,,,,,,,,
10400,1.487028,2.1327446,,,,,,,,,,,,,,
10500,2.0135052,2.1769905,,,,,,,,,,,,,,
10549,,,0.6285674571990967,1.5007295608520508,0.5639199614524841,1.8578181266784668,50000.0,0.4445000290870666,2.585268497467041,10000.0,3621.028754234314,3783.733434200287,3621.028754234314,162.1518476009369,0.1943204402923584,0.0
10600,1.5255847,2.087686,,,,,,,,,,,,,,
10700,1.719296,2.1051543,,,,,,,,,,,,,,
10800,2.2125907,1.9930427,,,,,,,,,,,,,,
10900,1.7535007,2.077032,,,,,,,,,,,,,,
11000,2.0309408,2.1616962,,,,,,,,,,,,,,
11100,2.488586,1.9766965,,,,,,,,,,,,,,
11200,1.7135177,2.04627,,,,,,,,,,,,,,
11300,1.5654675,1.9447681,,,,,,,,,,,,,,
11400,1.5609896,2.0489388,,,,,,,,,,,,,,
11500,1.5206928,1.9624803,,,,,,,,,,,,,,
11600,1.5373832,2.0752785,,,,,,,,,,,,,,
11700,1.5727689,2.158955,,,,,,,,,,,,,,
11800,1.8757215,2.1064224,,,,,,,,,,,,,,
11900,1.5821385,2.0201807,,,,,,,,,,,,,,
12000,1.6746471,2.02886,,,,,,,,,,,,,,
12058,,,0.6300023794174194,1.498435378074646,0.5737599730491638,1.8043254613876345,50000.0,0.4433000087738037,2.580861568450928,10000.0,4131.20413517952,4312.186669111252,4131.20413517952,180.35190606117249,0.2221417427062988,0.0
12100,1.658227,2.0873363,,,,,,,,,,,,,,
12200,1.855952,1.9576082,,,,,,,,,,,,,,
